title,genre,producer,country,country_duble,year,year_duble,imdb
Банда Келли,"Жанры игрового кино,Боевик (киножанр),Приключенческий фильм,Фильм-биография,Криминальный фильм","(['Джордан, Грегор'],)","Австралия,США,Великобритания,Франция",,,2003,6.4
Банда Гриссомов,"Жанры игрового кино,Криминальный фильм,Драма (жанр)","(['Олдрич, Роберт'],)",,,,,6.7
Бананы,"Жанры игрового кино,d:Q52162262,Эксцентрическая комедия","([],)",,Соединённые Штаты Америки,"1971,30 августа,1974", ,6.9
Банда,"Жанры игрового кино,Детективный фильм,Драма (жанр)","(['Дере, Жак'],)","Франция,Италия",,,1977,5.7
Бангкокская история любви,"Жанры игрового кино,Драма (жанр)","([],)",Таиланд,,,2007,5.8
Банда батьки Кныша,"Жанры игрового кино,Приключенческий фильм","(['Разумный, Александр Ефимович'],)",СССР,,,1924,4.5
Банановый монстр,"Жанры игрового кино,Фильм ужасов,Фантастика,Комедия","(['Джон Лэндис'],)",,,,1973,5.6
Бангкокский нокаут,"Жанры игрового кино,Боевик (киножанр)","(['Риттикрай, Панна'],)",,,,2010,5.4
Бальное платье,Жанры игрового кино,"(['Касымова, Маргарита Наимовна'],)",Белоруссия,,,2003,4.4
Бальная записная книжка,Жанры игрового кино,"(['Дювивье, Жюльен'],)",,,,1937,7.4
Бальзак,"Жанры игрового кино,Биографический фильм,Исторический фильм,Драма (жанр)","(['Дайан, Жозе'],)","Франция,Италия,Германия",,,1999,6.7
Балтиморская пуля,"Жанры игрового кино,Кинокомедия","(['Роберт Эллис Миллер (страница отсутствует)'],)",,,,1980,5.9
Балтийское небо,"Жанры игрового кино,Военный фильм,Драма (жанр)","(['Венгеров, Владимир Яковлевич'],)",,Союз Советских Социалистических Республик,,1960,7.3
Балтийская любовь,"Жанры игрового кино,Мелодрама,Драма (жанр)","([],)",,Эстония,,1992,6.2
Бамбуковая летающая тарелка,"Жанры игрового кино,Научная фантастика в кинематографе","([],)",,Соединённые Штаты Америки,1968,,5.4
Бамблби,"Жанры игрового кино,Научно-фантастический фильм,Боевик (киножанр)","(['en:Travis Knight'],)","США,Китай",,,2018,6.7
Баловень судьбы,"Жанры игрового кино,Мелодрама","(['Лелуш, Клод'],)","Франция,ФРГ",,,1988,6.9
Баллистика: Экс против Сивер,"Жанры игрового кино,Боевик (киножанр),Фантастика,Приключения","(['Вич Каосаянанда (страница отсутствует)'],)",,,,2002,3.7
Балладина,Жанры игрового кино,"(['Зависьляк, Дариуш'],)",,Польша,,,4.9
Баллада об Орин,"Жанры игрового кино,Фильм-драма","(['Масахиро Синода'],)",Япония,,,,7.4
Баллада о трубе и облаке,"Жанры игрового кино,Драма (жанр)","(['Штиглиц, Франце'],)",Югославия,,,1961,7.4
Баллада о старом оружии,"Жанры игрового кино,Драма (жанр),Приключенческий фильм","(['Воронин, Геннадий Анатольевич'],)",СССР,,,1986,6.1
Баллада о солдате,"Жанры игрового кино,Военный фильм,Мелодрама","(['Чухрай, Григорий Наумович'],)",СССР,,,1959,8.2
Баллада о маленьком солдате,"Жанры игрового кино,Документальное кино","(['Вернер Херцог', 'Денис Райхле (страница отсутствует)'],)",ФРГ,,,1984,7.2
Баллада о доблестном рыцаре Айвенго,"Жанры игрового кино,Приключенческий фильм","(['Тарасов, Сергей Сергеевич (режиссёр)'],)",СССР,,,1982,6.7
Баллада о Джеке и Роуз,"Жанры игрового кино,Драма (жанр)","(['Миллер, Ребекка'],)",США,,,2005,6.5
Баллада о дереве и розе,Жанры игрового кино,"(['Рихман, Ладислав (страница отсутствует)'],)",,,,1978,2.3
Баллада о бомбере,"Жанры игрового кино,Военный фильм,Приключения,Боевик (киножанр)","(['Воробьёв, Виталий Вадимович (страница отсутствует)'],)",,"Россия,Украина",,2011,6.7
Баллада о Беринге и его друзьях,Жанры игрового кино,"(['Швырёв, Юрий Афанасьевич'],)",СССР,,,,6.9
Баллада о Бастере Скраггсе,"Жанры игрового кино,Вестерн,Драматический фильм,Чёрная комедия,Притча","(['Братья Коэн'],)",,Соединённые Штаты Америки,"Дом игрушек Пи-ви,Специальные корреспонденты,Brahman Naman,Перерождение,Таллула,Поцелуй,Талисманы,Я прелесть, живущая в доме,Благодать,Blue Jay,Похищение монет,iБой,Imperial Dreams,День любимой,Раскалённые пески,Дейдра и Лани грабят поезд,Самая ненавистная женщина Америки,Отыграйся,Песочный замок,Бродяги,Мелкие преступления,Красавчик,Озеро Шиммер,Невероятная Джессика Джеймс,Маленькое зло,Наши души по ночам,Водила,Убийца,Принц на Рождество,Рождество в Эль-Камино,Рождественское наследие,Король польки,Годзилла: Планета чудовищ,6 Balloons,Придержи тьму,Come Sunday,A Futile and Stupid Gesture","2018,[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en],[en]",7.2
